now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
398.19,c302,leave,[c306],[c301],[],Free,Free,Free,,c302,
398.58,c307,Arrive (Q_A),"[c306, c307]",[c301],[],Free,Free,Free,,,
399.30,c301,start_desk_B,"[c306, c307]",[],[],Free,"(c301, End=402.6)",Free,10.98,,
399.30,c299,leave,"[c306, c307]",[],[],Free,Free,Free,,c299,
399.76,c308,Arrive (Q_B),"[c306, c307]",[c308],[],Free,Free,Free,,,
401.19,c309,Arrive (Q_B),"[c306, c307]","[c308, c309]",[],Free,Free,Free,,,
401.24,c310,Arrive (Q_C),"[c306, c307]","[c308, c309]",[c310],Free,Free,Free,,,
401.24,c310,start_desk_C,"[c306, c307]","[c308, c309]",[],Free,Free,"(c310, End=404.8)",0.00,,
401.30,c311,Arrive (Q_A),"[c306, c307, c311]","[c308, c309]",[],Free,Free,"(c310, End=404.8)",,,
402.58,c308,start_desk_B,"[c306, c307, c311]",[c309],[],Free,"(c308, End=407.0)","(c310, End=404.8)",2.83,,
402.58,c301,leave,"[c306, c307, c311]",[c309],[],Free,Free,"(c310, End=404.8)",,c301,
402.78,c312,Arrive (Q_A),"[c306, c307, c311, c312]",[c309],[],Free,Free,"(c310, End=404.8)",,,
403.32,c313,Arrive (Q_A),"[c306, c307, c311, c312, c313]",[c309],[],Free,Free,"(c310, End=404.8)",,,
403.72,c314,Arrive (Q_A),"[c306, c307, c311, c312, c313, c314]",[c309],[],Free,Free,"(c310, End=404.8)",,,
404.76,c310,leave,"[c306, c307, c311, c312, c313, c314]",[c309],[],Free,Free,Free,,c310,
406.53,c315,Arrive (Q_B),"[c306, c307, c311, c312, c313, c314]","[c309, c315]",[],Free,Free,Free,,,
406.65,c316,Arrive (Q_C),"[c306, c307, c311, c312, c313, c314]","[c309, c315]",[c316],Free,Free,Free,,,
406.65,c316,start_desk_C,"[c306, c307, c311, c312, c313, c314]","[c309, c315]",[],Free,Free,"(c316, End=408.9)",0.00,,
406.88,c306,start_desk_A,"[c307, c311, c312, c313, c314]","[c309, c315]",[],"(c306, End=407.0)",Free,"(c316, End=408.9)",8.92,,
406.88,c305,leave,"[c307, c311, c312, c313, c314]","[c309, c315]",[],Free,Free,"(c316, End=408.9)",,c305,
406.96,c307,start_desk_A,"[c311, c312, c313, c314]","[c309, c315]",[],"(c307, End=407.6)",Free,"(c316, End=408.9)",8.39,,
406.96,c306,leave,"[c311, c312, c313, c314]","[c309, c315]",[],Free,Free,"(c316, End=408.9)",,c306,
407.02,c309,start_desk_B,"[c311, c312, c313, c314]",[c315],[],Free,"(c309, End=410.0)","(c316, End=408.9)",5.83,,
407.02,c308,leave,"[c311, c312, c313, c314]",[c315],[],Free,Free,"(c316, End=408.9)",,c308,
407.60,c311,start_desk_A,"[c312, c313, c314]",[c315],[],"(c311, End=410.4)",Free,"(c316, End=408.9)",6.29,,
407.60,c307,leave,"[c312, c313, c314]",[c315],[],Free,Free,"(c316, End=408.9)",,c307,
408.94,c316,leave,"[c312, c313, c314]",[c315],[],Free,Free,Free,,c316,
409.97,c315,start_desk_B,"[c312, c313, c314]",[],[],Free,"(c315, End=414.4)",Free,3.44,,
409.97,c309,leave,"[c312, c313, c314]",[],[],Free,Free,Free,,c309,
410.39,c312,start_desk_A,"[c313, c314]",[],[],"(c312, End=411.2)",Free,Free,7.61,,
410.39,c311,leave,"[c313, c314]",[],[],Free,Free,Free,,c311,
411.20,c313,start_desk_A,[c314],[],[],"(c313, End=411.6)",Free,Free,7.88,,
411.20,c312,leave,[c314],[],[],Free,Free,Free,,c312,
411.58,c314,start_desk_A,[],[],[],"(c314, End=411.6)",Free,Free,7.86,,
411.58,c313,leave,[],[],[],Free,Free,Free,,c313,
411.60,c314,leave,[],[],[],Free,Free,Free,,c314,
412.66,c317,Arrive (Q_B),[],[c317],[],Free,Free,Free,,,
414.44,c317,start_desk_B,[],[],[],Free,"(c317, End=420.0)",Free,1.78,,
414.44,c315,leave,[],[],[],Free,Free,Free,,c315,
414.50,c318,Arrive (Q_C),[],[],[c318],Free,Free,Free,,,
414.50,c318,start_desk_C,[],[],[],Free,Free,"(c318, End=415.6)",0.00,,
415.27,c319,Arrive (Q_A),[c319],[],[],Free,Free,"(c318, End=415.6)",,,
415.27,c319,start_desk_A,[],[],[],"(c319, End=422.1)",Free,"(c318, End=415.6)",0.00,,
415.38,c320,Arrive (Q_A),[c320],[],[],"(c319, End=422.1)",Free,"(c318, End=415.6)",,,
415.42,c321,Arrive (Q_A),"[c320, c321]",[],[],"(c319, End=422.1)",Free,"(c318, End=415.6)",,,
415.60,c318,leave,"[c320, c321]",[],[],"(c319, End=422.1)",Free,Free,,c318,
416.72,c322,Arrive (Q_C),"[c320, c321]",[],[c322],"(c319, End=422.1)",Free,Free,,,
416.72,c322,start_desk_C,"[c320, c321]",[],[],"(c319, End=422.1)",Free,"(c322, End=418.2)",0.00,,
418.03,c323,Arrive (Q_A),"[c320, c321, c323]",[],[],"(c319, End=422.1)",Free,"(c322, End=418.2)",,,
418.16,c324,Arrive (Q_C),"[c320, c321, c323]",[],[c324],"(c319, End=422.1)",Free,"(c322, End=418.2)",,,
418.18,c324,start_desk_C,"[c320, c321, c323]",[],[],"(c319, End=422.1)",Free,"(c324, End=420.7)",0.02,,
418.18,c322,leave,"[c320, c321, c323]",[],[],"(c319, End=422.1)",Free,Free,,c322,
420.00,c317,leave,"[c320, c321, c323]",[],[],"(c319, End=422.1)",Free,Free,,c317,
420.73,c324,leave,"[c320, c321, c323]",[],[],"(c319, End=422.1)",Free,Free,,c324,
422.13,c320,start_desk_A,"[c321, c323]",[],[],"(c320, End=433.0)",Free,Free,6.74,,
422.13,c319,leave,"[c321, c323]",[],[],Free,Free,Free,,c319,
422.56,c325,Arrive (Q_B),"[c321, c323]",[c325],[],Free,Free,Free,,,
422.56,c325,start_desk_B,"[c321, c323]",[],[],Free,"(c325, End=424.7)",Free,0.00,,
423.16,c326,Arrive (Q_B),"[c321, c323]",[c326],[],Free,"(c325, End=424.7)",Free,,,
424.65,c327,Arrive (Q_C),"[c321, c323]",[c326],[c327],Free,"(c325, End=424.7)",Free,,,
424.65,c327,start_desk_C,"[c321, c323]",[c326],[],Free,"(c325, End=424.7)","(c327, End=427.5)",0.00,,
424.73,c326,start_desk_B,"[c321, c323]",[],[],Free,"(c326, End=430.3)","(c327, End=427.5)",1.57,,
424.73,c325,leave,"[c321, c323]",[],[],Free,Free,"(c327, End=427.5)",,c325,
425.34,c328,Arrive (Q_C),"[c321, c323]",[],[c328],Free,Free,"(c327, End=427.5)",,,
425.53,c329,Arrive (Q_B),"[c321, c323]",[c329],[c328],Free,Free,"(c327, End=427.5)",,,
